,runId,trId,value,timestamp
208,2.0,15.0,1.0,1603127531.9934819
209,2.0,16.0,1.0,1603127532.591677
210,2.0,17.0,1.0,1603127533.1915069
211,2.0,18.0,1.0,1603127533.806844
212,2.0,19.0,1.0,1603127534.513603
213,2.0,20.0,1.0,1603127535.124842
214,1.0,,,1603127561.097883
215,2.0,1.0,1.0,1603127561.593534
216,2.0,2.0,1.0,1603127562.191485
217,2.0,3.0,1.0,1603127562.838889
218,2.0,4.0,1.0,1603127563.492053
219,2.0,5.0,1.0,1603127564.09287
220,2.0,6.0,1.0,1603127564.720128
221,2.0,7.0,1.0,1603127565.334046
222,2.0,8.0,1.0,1603127565.9920251
223,2.0,9.0,1.0,1603127566.591419
224,2.0,10.0,1.0,1603127567.192499
225,2.0,11.0,1.0,1603127567.892809
226,2.0,12.0,1.0,1603127568.50987
227,2.0,13.0,1.0,1603127569.122976
228,2.0,14.0,1.0,1603127569.6956108
229,2.0,15.0,1.0,1603127570.391791
230,2.0,16.0,1.0,1603127570.892561
231,2.0,17.0,1.0,1603127571.492265
232,2.0,18.0,1.0,1603127572.1971068
233,2.0,19.0,1.0,1603127572.893107
234,2.0,20.0,1.0,1603127573.529268
235,1.0,,,1603127793.983986
236,1.0,,,1603127998.036279
237,1.0,,,1603128066.123806
238,1.0,,,1603128121.0996969
239,1.0,,,1603128244.3883562
240,1.0,1.0,6.0,1603128252.524951
241,1.0,2.0,6.0,1603128254.395181
242,1.0,3.0,6.0,1603128256.294603
243,1.0,4.0,6.0,1603128258.095655
244,1.0,5.0,6.0,1603128259.8945332
245,1.0,6.0,6.0,1603128261.6937149
246,1.0,7.0,6.0,1603128264.69468
247,1.0,8.0,6.0,1603128266.494112
248,1.0,9.0,6.0,1603128268.221237
249,1.0,10.0,6.0,1603128270.0098162
250,1.0,11.0,6.0,1603128271.7197282
251,1.0,12.0,6.0,1603128273.593471
252,1.0,13.0,6.0,1603128276.306164
253,1.0,14.0,6.0,1603128278.094611
254,1.0,15.0,6.0,1603128279.896078
255,1.0,16.0,6.0,1603128281.6960561
256,1.0,17.0,6.0,1603128284.495417
257,1.0,18.0,6.0,1603128286.294729
258,1.0,19.0,6.0,1603128288.0939782
259,1.0,20.0,6.0,1603128289.994195
260,1.0,21.0,6.0,1603128291.893514
261,1.0,22.0,6.0,1603128293.694989
262,1.0,23.0,6.0,1603128296.496536
263,1.0,24.0,6.0,1603128298.296601
264,1.0,25.0,6.0,1603128300.047584
265,1.0,26.0,6.0,1603128301.714296
266,1.0,27.0,6.0,1603128304.4947042
267,1.0,28.0,6.0,1603128306.31405
268,1.0,29.0,6.0,1603128308.0961652
269,1.0,30.0,6.0,1603128309.899137
270,1.0,31.0,6.0,1603128311.694467
271,1.0,32.0,6.0,1603128314.5009081
272,1.0,33.0,6.0,1603128316.301217
273,1.0,34.0,6.0,1603128318.095233
274,1.0,35.0,6.0,1603128319.895993
275,1.0,36.0,6.0,1603128321.695214
276,1.0,37.0,6.0,1603128324.593507
277,1.0,38.0,6.0,1603128326.397832
278,1.0,39.0,6.0,1603128328.22469
279,1.0,40.0,6.0,1603128329.993312
280,1.0,41.0,6.0,1603128331.894036
281,1.0,42.0,6.0,1603128333.695837
282,1.0,43.0,6.0,1603128336.51658
283,1.0,44.0,6.0,1603128338.31849
284,1.0,45.0,6.0,1603128340.10234
285,1.0,46.0,6.0,1603128341.894144
286,1.0,47.0,6.0,1603128343.806986
287,1.0,48.0,6.0,1603128345.693949
288,1.0,49.0,6.0,1603128348.510356
289,1.0,50.0,6.0,1603128350.3378718
290,1.0,51.0,6.0,1603128352.0020921
291,1.0,52.0,6.0,1603128353.7939641
292,1.0,53.0,6.0,1603128355.764968
293,1.0,54.0,6.0,1603128358.493684
294,1.0,55.0,6.0,1603128360.29531
295,1.0,56.0,6.0,1603128362.114658
296,1.0,57.0,6.0,1603128363.994071
297,1.0,58.0,6.0,1603128365.893433
298,1.0,59.0,6.0,1603128367.806297
299,1.0,60.0,6.0,1603128369.601226
300,1.0,61.0,6.0,1603128372.4928188
301,1.0,62.0,6.0,1603128374.407712
302,1.0,63.0,6.0,1603128376.244482
303,1.0,64.0,6.0,1603128377.9927292
304,1.0,65.0,6.0,1603128379.9927108
305,1.0,66.0,6.0,1603128381.894324
306,1.0,67.0,6.0,1603128383.7228339
307,1.0,68.0,6.0,1603128386.494093
308,1.0,69.0,6.0,1603128388.495004
309,1.0,70.0,6.0,1603128390.293748
310,1.0,71.0,6.0,1603128392.11918
311,1.0,72.0,6.0,1603128393.897061
312,1.0,73.0,6.0,1603128395.70232
313,1.0,74.0,6.0,1603128398.5937762
