,Sub,Run,TR,Onset,Item,Change,CorrResp,Resp,RT,Acc,image_on,button_on,button_off,Trial_ID
34,sub003,7,37,68,D,0.0,,2,0.2666764189998503,,74.00689358399995,75.02366560700011,75.92357727699982,12
35,sub003,7,38,70,,0,,,,,,,,
36,sub003,7,39,72,,0,,,,,,,,
37,sub003,7,40,74,B,0.0,,2,0.38333855300015784,,80.00696273099993,81.02373749599974,81.923638364,13
38,sub003,7,41,76,,0,,,,,,,,
39,sub003,7,42,78,,0,,,,,,,,
40,sub003,7,43,80,,0,,,,,,,,
41,sub003,7,44,82,C,0.0,,1,0.300002492999738,,88.00705650300006,89.02383259599992,89.9237430799999,14
42,sub003,7,45,84,,0,,,,,,,,
43,sub003,7,46,86,,0,,,,,,,,
44,sub003,7,47,88,A,0.0,,1,0.46668521899982807,,94.00711687900002,95.02387127300017,95.92380227500007,15
45,sub003,7,48,90,,0,,,,,,,,
46,sub003,7,49,92,D,0.0,,2,0.2500067589999162,,98.00715161400012,99.02391638500012,99.92383508700004,16
47,sub003,7,50,94,,0,,,,,,,,
48,sub003,7,51,96,B,0.0,,2,0.35001949399975274,,102.00718808900001,103.02395230899992,103.92387886899996,17
49,sub003,7,52,98,,0,,,,,,,,
50,sub003,7,53,100,,0,,,,,,,,
51,sub003,7,54,102,,0,,,,,,,,
52,sub003,7,55,104,C,0.0,,1,0.5833544840002105,,110.00727969699983,111.02405055100007,111.92396703799977,18
53,sub003,7,56,106,,0,,,,,,,,
54,sub003,7,57,108,,0,,,,,,,,
55,sub003,7,58,110,,0,,,,,,,,
56,sub003,7,59,112,B,0.0,,2,0.5166716049998286,,118.0073800539999,119.0241313040001,119.92406825999979,19
57,sub003,7,60,114,,0,,,,,,,,
58,sub003,7,61,116,,0,,,,,,,,
59,sub003,7,62,118,A,0.0,,1,0.2666822780001894,,124.00742387499986,125.024204414,125.92411738300007,20
60,sub003,7,63,120,,0,,,,,,,,
61,sub003,7,64,122,,0,,,,,,,,
62,sub003,7,65,124,C,0.0,,1,0.3666932480000469,,130.0074878979999,131.02426752099973,131.92417686299996,21
63,sub003,7,66,126,,0,,,,,,,,
64,sub003,7,67,128,A,0.0,,1,0.11666306000006443,,134.0075500150001,135.02430831399988,135.92422352199992,22
65,sub003,7,68,130,,0,,,,,,,,
66,sub003,7,69,132,D,0.0,,2,0.3166885059999913,,138.00757909599997,139.02434538599982,139.92425907400002,23
67,sub003,7,70,134,,0,,,,,,,,
68,sub003,7,71,136,A,0.0,,1,0.2166723809996256,,142.00763394900014,143.02438226599998,143.92431938799973,24
69,sub003,7,72,138,,0,,,,,,,,
70,sub003,7,73,140,,0,,,,,,,,
71,sub003,7,74,142,C,0.0,,1,0.2666708639999342,,148.00769683199997,149.02445031099978,149.92440116199987,25
72,sub003,7,75,144,,0,,,,,,,,
73,sub003,7,76,146,,0,,,,,,,,
74,sub003,7,77,148,D,0.0,,2,0.4666846899999655,,154.0077444210001,155.0245262389999,155.92443329800017,26
75,sub003,7,78,150,,0,,,,,,,,
76,sub003,7,79,152,,0,,,,,,,,
77,sub003,7,80,154,,0,,,,,,,,
78,sub003,7,81,156,B,0.0,,2,0.4002978710000207,,162.00785050600007,163.0246012990001,163.92451499900017,27
79,sub003,7,82,158,,0,,,,,,,,
80,sub003,7,83,160,,0,,,,,,,,
81,sub003,7,84,162,A,0.0,,1,0.20001050499968187,,168.00790076500016,169.0246654419998,169.92458621200012,28
82,sub003,7,85,164,,0,,,,,,,,
83,sub003,7,86,166,,0,,,,,,,,
84,sub003,7,87,168,,0,,,,,,,,
85,sub003,7,88,170,D,0.0,,2,0.3666778639999393,,176.00798156700012,177.02474777099997,177.9246751589999,29
86,sub003,7,89,172,,0,,,,,,,,
87,sub003,7,90,174,B,0.0,,2,0.3666868289997183,,180.0080195390001,181.02479597,181.92472099399993,30
88,sub003,7,91,176,,0,,,,,,,,
89,sub003,7,92,178,C,0.0,,1,0.33330553499990856,,184.0081177259999,185.02483345200017,185.9247551819999,31
90,sub003,7,93,180,,0,,,,,,,,
91,sub003,7,94,182,,0,,,,,,,,
92,sub003,7,95,184,,0,,,,,,,,
