,Sub,Run,TR,Onset,Item,Change,CorrResp,Resp,RT,Acc,image_on,button_on,button_off
30,pilot001,1,30,45.0,,0,,,,,,,
31,pilot001,1,31,46.5,,0,,,,,,,
32,pilot001,1,32,48.0,C,0.0,,1,0.7831851869996171,,64.01596952299587,65.03247098898282,65.93248357897392
33,pilot001,1,33,49.5,,0,,,,,,,
34,pilot001,1,34,51.0,,0,,,,,,,
35,pilot001,1,35,52.5,A,0.0,,1,0.6833436109882314,,70.01585599998361,71.03252770699328,71.93253141298192
36,pilot001,1,36,54.0,,0,,,,,,,
37,pilot001,1,37,55.5,,0,,,,,,,
38,pilot001,1,38,57.0,C,0.0,,1,0.6333518530009314,,76.01590091598337,77.03257798898267,77.93258660598076
39,pilot001,1,39,58.5,,0,,,,,,,
40,pilot001,1,40,60.0,,0,,,,,,,
41,pilot001,1,41,61.5,D,0.0,,2,0.4166805089917034,,82.01595127099426,83.0326250239741,83.93263843297609
42,pilot001,1,42,63.0,,0,,,,,,,
43,pilot001,1,43,64.5,,0,,,,,,,
44,pilot001,1,44,66.0,,0,,,,,,,
45,pilot001,1,45,67.5,B,0.0,,2,0.4500139089941513,,90.01602467498742,91.03269441099837,91.9326995779993
46,pilot001,1,46,69.0,,0,,,,,,,
47,pilot001,1,47,70.5,,0,,,,,,,
48,pilot001,1,48,72.0,,0,,,,,,,
49,pilot001,1,49,73.5,C,0.0,,1,0.6000145440048072,,98.01609106597607,99.03275886797928,99.93276560798404
50,pilot001,1,50,75.0,,0,,,,,,,
51,pilot001,1,51,76.5,,0,,,,,,,
52,pilot001,1,52,78.0,B,0.0,,2,0.5333356499904767,,104.0161470839812,105.03281022398733,105.93281851697247
53,pilot001,1,53,79.5,,0,,,,,,,
54,pilot001,1,54,81.0,A,0.0,,1,0.6500166000041645,,108.01617092997185,109.03284395797527,109.93285538000055
55,pilot001,1,55,82.5,,0,,,,,,,
56,pilot001,1,56,84.0,,0,,,,,,,
57,pilot001,1,57,85.5,,0,,,,,,,
